year,region,division,state,population,group,subgroup,metric,val,upper,lower
2003,Midwest,East North Central,Illinois,12547387.98,Total,Total,Spending per capita,6990,,
2003,Midwest,East North Central,Illinois,12547387.98,Total,Total,Standardized spending per capita,8339,8664,8149
2003,Midwest,East North Central,Indiana,6183546.331,Total,Total,Spending per capita,6928,,
2003,Midwest,East North Central,Indiana,6183546.331,Total,Total,Standardized spending per capita,8403,8744,8184
2003,Midwest,East North Central,Michigan,9909275.659,Total,Total,Spending per capita,6781,,
2003,Midwest,East North Central,Michigan,9909275.659,Total,Total,Standardized spending per capita,7966,8269,7775
2003,Midwest,East North Central,Ohio,11363624.33,Total,Total,Spending per capita,7511,,
2003,Midwest,East North Central,Ohio,11363624.33,Total,Total,Standardized spending per capita,8919,9247,8711
2003,Midwest,East North Central,Wisconsin,5447542.174,Total,Total,Spending per capita,7481,,
2003,Midwest,East North Central,Wisconsin,5447542.174,Total,Total,Standardized spending per capita,9139,9420,8960
2003,South,East South Central,Alabama,4531231.48,Total,Total,Spending per capita,6825,,
2003,South,East South Central,Alabama,4531231.48,Total,Total,Standardized spending per capita,8038,8248,7875
2003,South,East South Central,Kentucky,4120335.695,Total,Total,Spending per capita,6988,,
2003,South,East South Central,Kentucky,4120335.695,Total,Total,Standardized spending per capita,8757,9150,8484
2003,South,East South Central,Mississippi,2883472.435,Total,Total,Spending per capita,6440,,
2003,South,East South Central,Mississippi,2883472.435,Total,Total,Standardized spending per capita,8881,9178,8692
2003,South,East South Central,Tennessee,5868768.665,Total,Total,Spending per capita,6977,,
2003,South,East South Central,Tennessee,5868768.665,Total,Total,Standardized spending per capita,7647,7865,7460
2003,Northeast,Middle Atlantic,New Jersey,8496153.248,Total,Total,Spending per capita,7905,,
2003,Northeast,Middle Atlantic,New Jersey,8496153.248,Total,Total,Standardized spending per capita,7782,7998,7633
2003,Northeast,Middle Atlantic,New York,18994782.89,Total,Total,Spending per capita,8867,,
2003,Northeast,Middle Atlantic,New York,18994782.89,Total,Total,Standardized spending per capita,9003,9352,8781
2003,Northeast,Middle Atlantic,Pennsylvania,12337011.49,Total,Total,Spending per capita,8018,,
2003,Northeast,Middle Atlantic,Pennsylvania,12337011.49,Total,Total,Standardized spending per capita,8583,8905,8382
2003,West,Mountain,Arizona,5525843.207,Total,Total,Spending per capita,5590,,
2003,West,Mountain,Arizona,5525843.207,Total,Total,Standardized spending per capita,7369,7675,7191
2003,West,Mountain,Colorado,4534496.91,Total,Total,Spending per capita,6274,,
2003,West,Mountain,Colorado,4534496.91,Total,Total,Standardized spending per capita,7309,7547,7160
2003,West,Mountain,Idaho,1374190,Total,Total,Spending per capita,5801,,
2003,West,Mountain,Idaho,1374190,Total,Total,Standardized spending per capita,8138,8407,7980
2003,West,Mountain,Montana,924320.9699,Total,Total,Spending per capita,6559,,
2003,West,Mountain,Montana,924320.9699,Total,Total,Standardized spending per capita,8864,9209,8657
2003,West,Mountain,Nevada,2229813.58,Total,Total,Spending per capita,6099,,
2003,West,Mountain,Nevada,2229813.58,Total,Total,Standardized spending per capita,6930,7250,6714
2003,West,Mountain,New Mexico,1892988.123,Total,Total,Spending per capita,5753,,
2003,West,Mountain,New Mexico,1892988.123,Total,Total,Standardized spending per capita,8207,8535,8015
2003,West,Mountain,Utah,2382981.744,Total,Total,Spending per capita,5256,,
2003,West,Mountain,Utah,2382981.744,Total,Total,Standardized spending per capita,8719,8945,8576
2003,West,Mountain,Wyoming,512706.7575,Total,Total,Spending per capita,6737,,
2003,West,Mountain,Wyoming,512706.7575,Total,Total,Standardized spending per capita,7864,8189,7667
2003,Northeast,New England,Connecticut,3436680.843,Total,Total,Spending per capita,8680,,
2003,Northeast,New England,Connecticut,3436680.843,Total,Total,Standardized spending per capita,7642,7795,7522
2003,Northeast,New England,Maine,1282472.35,Total,Total,Spending per capita,8526,,
2003,Northeast,New England,Maine,1282472.35,Total,Total,Standardized spending per capita,8562,8891,8354
2003,Northeast,New England,Massachusetts,6363777.101,Total,Total,Spending per capita,9167,,
2003,Northeast,New England,Massachusetts,6363777.101,Total,Total,Standardized spending per capita,9300,9595,9104
2003,Northeast,New England,New Hampshire,1256179.139,Total,Total,Spending per capita,7323,,
2003,Northeast,New England,New Hampshire,1256179.139,Total,Total,Standardized spending per capita,7319,7548,7178
2003,Northeast,New England,Rhode Island,1042413.651,Total,Total,Spending per capita,8516,,
2003,Northeast,New England,Rhode Island,1042413.651,Total,Total,Standardized spending per capita,9604,9964,9373
2003,Northeast,New England,Vermont,612631.5016,Total,Total,Spending per capita,7959,,
2003,Northeast,New England,Vermont,612631.5016,Total,Total,Standardized spending per capita,8616,8903,8434
2003,West,Pacific,Alaska,646905.3962,Total,Total,Spending per capita,8406,,
2003,West,Pacific,Alaska,646905.3962,Total,Total,Standardized spending per capita,10638,11182,10306
2003,West,Pacific,California,34680664.92,Total,Total,Spending per capita,6275,,
2003,West,Pacific,California,34680664.92,Total,Total,Standardized spending per capita,7773,8075,7597
2003,West,Pacific,Hawaii,1245448.757,Total,Total,Spending per capita,6561,,
2003,West,Pacific,Hawaii,1245448.757,Total,Total,Standardized spending per capita,7347,7645,7171
2003,West,Pacific,Oregon,3544319.827,Total,Total,Spending per capita,6436,,
2003,West,Pacific,Oregon,3544319.827,Total,Total,Standardized spending per capita,8308,8628,8124
2003,West,Pacific,Washington,6115762.367,Total,Total,Spending per capita,6680,,
2003,West,Pacific,Washington,6115762.367,Total,Total,Standardized spending per capita,7745,8010,7587
2003,South,South Atlantic,Delaware,814056.7264,Total,Total,Spending per capita,8516,,
2003,South,South Atlantic,Delaware,814056.7264,Total,Total,Standardized spending per capita,8228,8497,8000
2003,South,South Atlantic,District of Columbia,566112.5527,Total,Total,Spending per capita,10578,,
2003,South,South Atlantic,District of Columbia,566112.5527,Total,Total,Standardized spending per capita,10491,10753,10278
2003,South,South Atlantic,Florida,16725495.95,Total,Total,Spending per capita,7459,,
2003,South,South Atlantic,Florida,16725495.95,Total,Total,Standardized spending per capita,7883,8168,7699
2003,South,South Atlantic,Georgia,8635445.777,Total,Total,Spending per capita,5984,,
2003,South,South Atlantic,Georgia,8635445.777,Total,Total,Standardized spending per capita,7498,7694,7357
2003,South,South Atlantic,Maryland,5409750.942,Total,Total,Spending per capita,7516,,
2003,South,South Atlantic,Maryland,5409750.942,Total,Total,Standardized spending per capita,7922,8160,7767
2003,South,South Atlantic,North Carolina,8473538.873,Total,Total,Spending per capita,6697,,
2003,South,South Atlantic,North Carolina,8473538.873,Total,Total,Standardized spending per capita,7323,7514,7162
2003,South,South Atlantic,South Carolina,4167250.211,Total,Total,Spending per capita,6620,,
2003,South,South Atlantic,South Carolina,4167250.211,Total,Total,Standardized spending per capita,7876,8118,7703
2003,South,South Atlantic,Virginia,7325227.761,Total,Total,Spending per capita,6277,,
2003,South,South Atlantic,Virginia,7325227.761,Total,Total,Standardized spending per capita,7221,7461,7073
2003,South,South Atlantic,West Virginia,1816050.672,Total,Total,Spending per capita,7743,,
2003,South,South Atlantic,West Virginia,1816050.672,Total,Total,Standardized spending per capita,9332,9685,9108
2003,Midwest,West North Central,Iowa,2948954.756,Total,Total,Spending per capita,7148,,
2003,Midwest,West North Central,Iowa,2948954.756,Total,Total,Standardized spending per capita,8636,8857,8478
2003,Midwest,West North Central,Kansas,2728272.567,Total,Total,Spending per capita,7066,,
2003,Midwest,West North Central,Kansas,2728272.567,Total,Total,Standardized spending per capita,8156,8397,7970
2003,Midwest,West North Central,Minnesota,5018845.278,Total,Total,Spending per capita,7881,,
2003,Midwest,West North Central,Minnesota,5018845.278,Total,Total,Standardized spending per capita,9148,9359,8974
2003,Midwest,West North Central,Missouri,5695662.218,Total,Total,Spending per capita,7157,,
2003,Midwest,West North Central,Missouri,5695662.218,Total,Total,Standardized spending per capita,8774,9064,8581
2003,Midwest,West North Central,Nebraska,1737822.68,Total,Total,Spending per capita,7184,,
2003,Midwest,West North Central,Nebraska,1737822.68,Total,Total,Standardized spending per capita,8879,9099,8713
2003,Midwest,West North Central,North Dakota,641211.6229,Total,Total,Spending per capita,7567,,
2003,Midwest,West North Central,North Dakota,641211.6229,Total,Total,Standardized spending per capita,9918,10311,9651
2003,Midwest,West North Central,South Dakota,766817.7012,Total,Total,Spending per capita,7094,,
2003,Midwest,West North Central,South Dakota,766817.7012,Total,Total,Standardized spending per capita,8777,9014,8605
2003,South,West South Central,Arkansas,2746514.094,Total,Total,Spending per capita,6297,,
2003,South,West South Central,Arkansas,2746514.094,Total,Total,Standardized spending per capita,8429,8775,8207
2003,South,West South Central,Louisiana,4474602.935,Total,Total,Spending per capita,6831,,
2003,South,West South Central,Louisiana,4474602.935,Total,Total,Standardized spending per capita,9292,9669,9049
2003,South,West South Central,Oklahoma,3527010.391,Total,Total,Spending per capita,6492,,
2003,South,West South Central,Oklahoma,3527010.391,Total,Total,Standardized spending per capita,8596,8914,8368
2003,South,West South Central,Texas,22001011.05,Total,Total,Spending per capita,6129,,
2003,South,West South Central,Texas,22001011.05,Total,Total,Standardized spending per capita,8477,8751,8308
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Medicaid,Spending per capita,1047,,
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Medicaid,Standardized spending per capita,1116,1330,908
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Medicare,Spending per capita,1312,,
